"movie_title","director_name","title_year","color","num_critic_for_reviews","duration","gross","genres","language","country","content_rating","budget","imdb_score"
"The To Do List ","Maggie Carey",2013,"Color",97,104,3447339,"Comedy|Romance","English","USA","R",1500000,5.8
"The SpongeBob Movie: Sponge Out of Water ","Paul Tibbitt",2015,"Color",147,92,162495848,"Adventure|Animation|Comedy|Family|Fantasy","English","USA","PG",74000000,6
"88 Minutes ","Jon Avnet",2007,"Color",158,108,16930884,"Crime|Drama|Mystery|Thriller","English","USA","R",30000000,5.9
"Now You See Me ","Louis Leterrier",2013,"Color",384,125,117698894,"Crime|Mystery|Thriller","English","USA","PG-13",75000000,7.3
"Silverado ","Lawrence Kasdan",1985,"Color",46,133,33200000,"Action|Crime|Drama|Western","English","USA","PG-13",26000000,7.2
"Firestarter ","Mark L. Lester",1984,"Color",45,114,15100000,"Action|Horror|Sci-Fi|Thriller","English","USA","R",15000000,6
"High Fidelity ","Stephen Frears",2000,"Color",174,113,27277055,"Comedy|Drama|Music|Romance","English","UK","R",20000000,7.6
"Open Water ","Chris Kentis",2003,"Color",235,79,30500882,"Adventure|Biography|Drama|Horror|Thriller","English","USA","R",500000,5.7
"The Fisher King ","Terry Gilliam",1991,"Color",84,137,41895491,"Comedy|Drama|Fantasy","English","USA","R",24000000,7.6
"It's Kind of a Funny Story ","Anna Boden",2010,"Color",163,101,6350058,"Comedy|Drama|Romance","English","USA","PG-13",8000000,7.2
"Big Trouble ","Barry Sonnenfeld",2002,"Color",87,74,7262288,"Comedy|Crime|Thriller","English","USA","PG-13",40000000,6.5
"Dream with the Fishes ","Finn Taylor",1997,"Color",28,97,464655,"Comedy|Drama","English","USA","R",1000000,7
"[Rec] 2 ","Jaume Balagueró",2009,"Color",222,85,27024,"Horror","Spanish","Spain","R",5600000,6.6
"Mean Creek ","Jacob Aaron Estes",2004,"Color",126,90,603943,"Crime|Drama","English","USA","R",500000,7.3
"Reign Over Me ","Mike Binder",2007,"Color",154,124,19661987,"Drama","English","USA","R",20000000,7.5
"Children of Men ","Alfonso Cuarón",2006,"Color",372,109,35286428,"Drama|Sci-Fi|Thriller","English","USA","R",76000000,7.9
"Jason Lives: Friday the 13th Part VI ","Tom McLoughlin",1986,"Color",158,86,19472057,"Horror|Thriller","English","USA","R",3000000,5.9
"Across the Universe ","Julie Taymor",2007,"Color",156,133,24343673,"Drama|Fantasy|Musical|Romance","English","USA","PG-13",45000000,7.4
"My Best Friend's Girl ","Howard Deutch",2008,"Color",80,112,19151864,"Comedy|Romance","English","USA","R",40000000,5.9
"Stand by Me ","Rob Reiner",1986,"Color",99,89,52287414,"Adventure|Drama","English","USA","R",8000000,8.1
"Gosford Park ","Robert Altman",2001,"Color",187,131,41300105,"Drama|Mystery","English","UK","R",19800000,7.3
"Resident Evil: Extinction ","Russell Mulcahy",2007,"Color",216,94,50648679,"Action|Horror|Sci-Fi|Thriller","English","France","R",45000000,6.3
"Drive Angry ","Patrick Lussier",2011,"Color",296,104,10706786,"Action|Fantasy|Thriller","English","USA","R",50000000,5.5
"Stealing Harvard ","Bruce McCulloch",2002,"Color",52,85,13973532,"Comedy|Crime","English","USA","PG-13",25000000,5.1
"Bubble Boy ","Blair Hayes",2001,"Color",47,84,5002310,"Adventure|Comedy|Romance|Sci-Fi","English","USA","PG-13",13000000,5.6
"The Bounty Hunter ","Andy Tennant",2010,"Color",161,110,67061228,"Action|Comedy|Romance","English","USA","PG-13",40000000,5.5
"Tim and Eric's Billion Dollar Movie ","Tim Heidecker",2012,"Color",82,93,200803,"Comedy","English","USA","R",3000000,5.3
"Pitch Perfect 2 ","Elizabeth Banks",2015,"Color",221,115,183436380,"Comedy|Music","English","USA","PG-13",29000000,6.5
"The Fighter ","David O. Russell",2010,"Color",410,116,93571803,"Biography|Drama|Sport","English","USA","R",25000000,7.9
"The Imaginarium of Doctor Parnassus ","Terry Gilliam",2009,"Color",292,123,7689458,"Adventure|Fantasy|Mystery","English","UK","PG-13",40000000,6.8
"The Theory of Everything ","James Marsh",2014,"Color",419,123,35887263,"Biography|Drama|Romance","English","UK","PG-13",15000000,7.7
"Find Me Guilty ","Sidney Lumet",2006,"Color",94,125,1172769,"Biography|Comedy|Crime|Drama","English","Germany","R",13000000,7.1
"Recess: School's Out ","Chuck Sheetz",2001,"Color",44,82,36696761,"Animation|Comedy|Family|Mystery|Sci-Fi","English","USA","G",23000000,6.5
"The Newton Boys ","Richard Linklater",1998,"Color",63,123,10297897,"Action|Crime|Drama|History|Western","English","USA","PG-13",27000000,6
"For Love of the Game ","Sam Raimi",1999,"Color",113,137,35168395,"Drama|Romance|Sport","English","USA","PG-13",50000000,6.5
"Code Name: The Cleaner ","Les Mayfield",2007,"Color",53,91,8104069,"Action|Comedy|Crime","English","USA","PG-13",20000000,4.5
"The Pursuit of Happyness ","Gabriele Muccino",2006,"Color",201,117,162586036,"Biography|Drama","English","USA","PG-13",55000000,8
"Dumb and Dumberer: When Harry Met Lloyd ","Troy Miller",2003,"Color",85,85,26096584,"Comedy","English","USA","PG-13",19000000,3.4
"Crocodile Dundee II ","John Cornell",1988,"Color",32,108,109306210,"Action|Adventure|Comedy","English","Australia","PG",15800000,5.5
"The Best Years of Our Lives ","William Wyler",1946," Black and White",97,172,23650000,"Drama|Romance|War","English","USA","Not Rated",2100000,8.1
"Snow Day ","Chris Koch",2000,"Color",42,89,60008303,"Adventure|Comedy|Family","English","USA","PG",13000000,4.9
"Three Kings ","David O. Russell",1999,"Color",150,114,60652036,"Action|Adventure|Comedy|Drama|War","English","USA","R",48000000,7.1
"Muppets Most Wanted ","James Bobin",2014,"Color",277,119,51178893,"Adventure|Comedy|Crime|Family|Musical","English","USA","PG",50000000,6.4
"District B13 ","Pierre Morel",2004,"Color",141,84,1197786,"Action|Crime|Thriller","French","France","R",12000000,7.2
"The Messenger ","Oren Moverman",2009,"Color",217,105,66637,"Drama|Romance|War","English","USA","R",6500000,7.2
"Star Trek: The Motion Picture ","Robert Wise",1979,"Color",134,143,82300000,"Adventure|Mystery|Sci-Fi","English","USA","PG",35000000,6.4
"Spy Kids: All the Time in the World in 4D ","Robert Rodriguez",2011,"Color",76,89,38536376,"Action|Adventure|Comedy|Family|Sci-Fi","English","USA","PG",27000000,3.6
"This Is England ","Shane Meadows",2006,"Color",172,101,327919,"Crime|Drama","English","UK","Unrated",1500000,7.7
"Can't Stop the Music ","Nancy Walker",1980,"Color",26,124,2000000,"Biography|Comedy|Musical","English","USA","PG",20000000,4.5
"The Cotton Club ","Francis Ford Coppola",1984,"Color",36,123,25900000,"Crime|Drama|Music","English","USA","R",58000000,6.5
"Baggage Claim ","David E. Talbert",2013,"Color",52,96,21564616,"Comedy","English","USA","PG-13",8500000,5
"The Talented Mr. Ripley ","Anthony Minghella",1999,"Color",203,139,81292135,"Crime|Drama|Thriller","English","USA","R",40000000,7.3
"Rock Star ","Stephen Herek",2001,"Color",107,105,16991902,"Drama|Music","English","USA","R",57000000,6.2
"The Expendables ","Sylvester Stallone",2010,"Color",424,113,102981571,"Action|Adventure|Thriller","English","USA","R",80000000,6.5
"Hollywood Ending ","Woody Allen",2002,"Color",109,112,4839383,"Comedy|Romance","English","USA","PG-13",16000000,6.6
"License to Wed ","Ken Kwapis",2007,"Color",120,91,43792641,"Comedy|Romance","English","USA","PG-13",35000000,5.3
"Lost Souls ","Janusz Kaminski",2000,"Color",100,97,16779636,"Drama|Horror|Thriller","English","USA","R",28000000,4.8
"Prefontaine ","Steve James",1997,"Color",23,106,532190,"Biography|Drama|Romance|Sport","English","USA","PG-13",8000000,6.8
"Diary of a Wimpy Kid: Dog Days ","David Bowers",2012,"Color",88,94,49002815,"Comedy|Family","English","USA","PG",22000000,6.4
"Ice Age: Continental Drift ","Steve Martino",2012,"Color",233,88,161317423,"Adventure|Animation|Comedy|Family","English","USA","PG",95000000,6.6
"Bruce Almighty ","Tom Shadyac",2003,"Color",191,101,242589580,"Comedy|Drama","English","USA","PG-13",81000000,6.7
"Daddy's Home ","Sean Anders",2015,"Color",145,96,150315155,"Comedy|Family","English","USA","PG-13",50000000,6.1
"Hereafter ","Clint Eastwood",2010,"Color",315,129,32741596,"Drama|Fantasy","English","USA","PG-13",50000000,6.5
"Wing Commander ","Chris Roberts",1999,"Color",85,100,11576087,"Action|Adventure|Sci-Fi","English","USA","PG-13",30000000,4.1
"Southland Tales ","Richard Kelly",2006,"Color",173,160,273420,"Comedy|Mystery|Sci-Fi|Thriller","English","France","R",17000000,5.5
"The Day the Earth Stood Still ","Scott Derrickson",2008,"Color",276,104,79363785,"Drama|Sci-Fi|Thriller","English","USA","PG-13",80000000,5.5
"The Great Gatsby ","Baz Luhrmann",2013,"Color",490,143,144812796,"Drama|Romance","English","Australia","PG-13",105000000,7.3
"Man on a Ledge ","Asger Leth",2012,"Color",258,102,18600911,"Action|Crime|Thriller","English","USA","PG-13",42000000,6.6
"Just Visiting ","Jean-Marie Poiré",2001,"Color",61,84,4777007,"Comedy|Fantasy|Sci-Fi","English","France","PG-13",40000000,5.8
"Trollhunter ","André Øvredal",2010,"Color",337,103,252652,"Comedy|Drama|Fantasy|Horror","Norwegian","Norway","PG-13",19900000,7
"Jimmy Neutron: Boy Genius ","John A. Davis",2001,"Color",66,82,80920948,"Action|Adventure|Animation|Comedy|Family|Sci-Fi","English","USA","G",30000000,6
"Cadillac Records ","Darnell Martin",2008,"Color",81,109,8134217,"Biography|Drama|Music","English","USA","R",12000000,7
"Crank: High Voltage ","Mark Neveldine",2009,"Color",150,96,13630226,"Action|Crime|Sci-Fi|Thriller","English","USA","R",20000000,6.2
"The Hundred-Foot Journey ","Lasse Hallström",2014,"Color",180,122,54235441,"Comedy|Drama","English","USA","PG",22000000,7.3
"Collateral ","Michael Mann",2004,"Color",299,120,100003492,"Crime|Drama|Thriller","English","USA","R",65000000,7.6
"Murder by Numbers ","Barbet Schroeder",2002,"Color",136,115,31874869,"Crime|Mystery|Thriller","English","USA","R",50000000,6.1
"Topsy-Turvy ","Mike Leigh",1999,"Color",103,154,6201757,"Biography|Comedy|Drama|History|Music|Musical","English","UK","R",10000000,7.4
"No Escape ","John Erick Dowdle",2015,"Color",203,103,27285953,"Action|Thriller","English","USA","R",5000000,6.8
"The Flintstones ","Brian Levant",1994,"Color",35,91,130512915,"Comedy|Family|Fantasy","English","USA","PG",45000000,4.8
"The Watch ","Akiva Schaffer",2012,"Color",265,102,34350553,"Action|Comedy|Sci-Fi","English","USA","R",68000000,5.7
"Cecil B. DeMented ","John Waters",2000,"Color",90,87,1276984,"Comedy|Crime|Thriller","English","France","R",10000000,6.2
"Man of the House ","Stephen Herek",2005,"Color",59,100,19118247,"Action|Comedy","English","USA","PG-13",40000000,5.4
"Ghost ","Jerry Zucker",1990,"Color",77,127,217631306,"Drama|Fantasy|Romance|Thriller","English","USA","PG-13",22000000,7
"The Giver ","Phillip Noyce",2014," Black and White",198,97,45089048,"Drama|Romance|Sci-Fi","English","South Africa","PG-13",25000000,6.5
"Birthday Girl ","Jez Butterworth",2001,"Color",111,93,4919896,"Comedy|Crime|Thriller","English","UK","R",13000000,6.1
"Crocodile Dundee ","Peter Faiman",1986,"Color",35,93,174635000,"Adventure|Comedy","English","Australia","PG-13",8800000,6.5
"Frozen River ","Courtney Hunt",2008,"Color",181,97,2508841,"Crime|Drama","English","USA","R",1000000,7.2
"The Hateful Eight ","Quentin Tarantino",2015,"Color",596,187,54116191,"Crime|Drama|Mystery|Thriller|Western","English","USA","R",44000000,7.9
"Saw ","James Wan",2004,"Color",287,103,55153403,"Horror|Mystery|Thriller","English","USA","R",1200000,7.7
"Life or Something Like It ","Stephen Herek",2002,"Color",86,103,14448589,"Comedy|Romance","English","USA","PG-13",40000000,5.8
"Delgo ","Marc F. Adler",2008,"Color",41,94,511920,"Adventure|Animation|Comedy|Fantasy|Romance","English","USA","PG",40000000,4.4
"Deep Blue Sea ","Renny Harlin",1999,"Color",199,105,73648142,"Action|Sci-Fi|Thriller","English","USA","R",60000000,5.8
"Femme Fatale ","Brian De Palma",2002,"Color",149,114,6592103,"Crime|Drama|Mystery|Thriller","English","France","R",35000000,6.3
"Oscar and Lucinda ","Gillian Armstrong",1997,"Color",28,132,1508689,"Drama|Romance","English","USA","R",16000000,6.7
"The Blind Side ","John Lee Hancock",2009,"Color",261,129,255950375,"Biography|Drama|Sport","English","USA","PG-13",29000000,7.7
"The Last Stand ","Jee-woon Kim",2013,"Color",376,107,12026670,"Action|Crime|Thriller","English","USA","R",45000000,6.4
"Cheaper by the Dozen ","Shawn Levy",2003,"Color",104,94,138614544,"Comedy|Family","English","USA","PG",40000000,5.8
"Repo! The Genetic Opera ","Darren Lynn Bousman",2008,"Color",147,150,140244,"Horror|Musical|Sci-Fi","English","USA","R",8500000,6.7
"Ali ","Michael Mann",2001," Black and White",174,165,58183966,"Biography|Drama|Sport","English","USA","R",107000000,6.8
"Tango & Cash ","Andrey Konchalovskiy",1989,"Color",45,97,63408614,"Action|Comedy|Crime|Thriller","English","USA","R",55000000,6.3
"Mad Money ","Callie Khouri",2008,"Color",98,104,20668843,"Comedy|Crime|Thriller","English","USA","PG-13",22000000,5.8
"Cool Runnings ","Jon Turteltaub",1993," Black and White",39,98,68856263,"Adventure|Comedy|Family|Sport","English","USA","PG",15000000,6.9
"Double Impact ","Sheldon Lettich",1991,"Color",40,110,30102717,"Action|Crime","English","USA","R",15000000,5.5
"Outside Providence ","Michael Corrente",1999,"Color",72,96,7292175,"Comedy|Drama|Romance","English","USA","R",7000000,6.4
"On the Waterfront ","Elia Kazan",1954," Black and White",134,108,9600000,"Crime|Drama|Romance","English","USA","Not Rated",910000,8.2
"Paranormal Activity 2 ","Tod Williams",2010,"Color",264,98,84749884,"Horror","English","USA","R",3000000,5.7
"Welcome to Collinwood ","Anthony Russo",2002,"Color",72,86,333976,"Comedy|Crime","English","USA","R",12000000,6.4
"Bobby ","Emilio Estevez",2006,"Color",195,112,11204499,"Drama|History","English","USA","R",14000000,7
"The Broadway Melody ","Harry Beaumont",1929," Black and White",36,100,2808000,"Musical|Romance","English","USA","Passed",379000,6.3
"Good Boy! ","John Hoffman",2003,"Color",52,87,37566230,"Comedy|Drama|Family|Fantasy|Sci-Fi","English","USA","PG",17000000,5.1
"Nightcrawler ","Dan Gilroy",2014,"Color",534,117,32279955,"Crime|Drama|Thriller","English","USA","R",8500000,7.9
"Dazed and Confused ","Richard Linklater",1993,"Color",152,102,7993039,"Comedy","English","USA","R",6900000,7.7
"Flight of the Intruder ","John Milius",1991,"Color",13,115,14587732,"Action|Drama|Thriller|War","English","USA","PG-13",35000000,5.7
"Major League ","David S. Ward",1989,"Color",57,107,49797148,"Comedy|Sport","English","USA","R",11000000,7.2
"Gangs of New York ","Martin Scorsese",2002,"Color",233,216,77679638,"Crime|Drama","English","USA","R",100000000,7.5
"Dark Blue ","Ron Shelton",2002,"Color",71,118,9059588,"Crime|Drama|Romance|Thriller","English","USA","R",15000000,6.6
"Brokeback Mountain ","Ang Lee",2005,"Color",357,134,83025853,"Drama|Romance","English","USA","R",14000000,7.7
"Imaginary Heroes ","Dan Harris",2004,"Color",73,111,228524,"Comedy|Drama","English","USA","R",4000000,7.3
"The Good Heart ","Dagur Kári",2009,"Color",61,99,19959,"Drama","English","Iceland","R",3800000,6.9
"Mortal Kombat ","Paul W.S. Anderson",1995,"Color",72,101,70360285,"Action|Adventure|Fantasy|Sci-Fi|Thriller","English","USA","PG-13",18000000,5.8
"Minority Report ","Steven Spielberg",2002,"Color",252,145,132014112,"Action|Mystery|Sci-Fi|Thriller","English","USA","PG-13",102000000,7.7
"Nine ","Rob Marshall",2009," Black and White",205,118,19673424,"Drama|Musical|Romance","English","USA","PG-13",80000000,5.8
"Mean Machine ","Barry Skolnick",2001,"Color",54,99,92191,"Comedy|Drama|Sport","English","UK","R",2500000,6.5
"Hannibal Rising ","Peter Webber",2007,"Color",209,131,27667947,"Crime|Drama|Thriller","English","UK","R",50000000,6.2
"Futuro Beach ","Karim Aïnouz",2014,"Color",70,106,20262,"Drama","Portuguese","Brazil","Unrated",4000000,6.1
"The Lovely Bones ","Peter Jackson",2009,"Color",308,135,43982842,"Drama|Fantasy|Thriller","English","USA","PG-13",65000000,6.7
"Observe and Report ","Jody Hill",2009,"Color",190,86,23993605,"Comedy|Crime|Drama","English","USA","R",18000000,5.8
"Dirty Pretty Things ","Stephen Frears",2002,"Color",137,97,8111360,"Crime|Drama|Thriller","English","UK","R",10000000,7.4
"The Others ","Alejandro Amenábar",2001,"Color",239,101,96471845,"Fantasy|Horror|Thriller","English","USA","PG-13",17000000,7.6
"Miss March ","Zach Cregger",2009,"Color",76,90,4542775,"Comedy|Romance","English","USA","R",6000000,5.1
"The Devil's Double ","Lee Tamahori",2011,"Color",167,109,1357042,"Biography|Drama|Thriller","English","Belgium","R",15000000,7.1
"Half Past Dead ","Don Michael Paul",2002,"Color",58,98,15361537,"Action|Crime|Thriller","English","Germany","PG-13",13000000,4.6
"Bran Nue Dae ","Rachel Perkins",2009,"Color",33,88,110029,"Comedy|Drama|Musical","English","Australia","PG-13",6500000,6.3
"Step Up 3D ","Jon M. Chu",2010,"Color",138,107,42385520,"Drama|Music|Romance","English","USA","PG-13",30000000,6.2
"Brother ","Takeshi Kitano",2000,"Color",81,114,447750,"Crime|Drama|Thriller","English","USA","R",10000000,7.2
"Begin Again ","John Carney",2013,"Color",283,104,16168741,"Drama|Music","English","USA","R",8000000,7.4
"El Mariachi ","Robert Rodriguez",1992,"Color",56,81,2040920,"Action|Crime|Drama|Romance|Thriller","Spanish","USA","R",7000,6.9
"The Secret of Kells ","Tomm Moore",2009,"Color",118,75,686383,"Adventure|Animation|Family|Fantasy","English","France","Not Rated",6500000,7.7
"Rambo: First Blood Part II ","George P. Cosmatos",1985,"Color",96,96,150415432,"Action|Adventure|Thriller|War","English","USA","R",44000000,6.4
"Sex Drive ","Sean Anders",2008,"Color",102,129,8396942,"Adventure|Comedy|Romance","English","USA","R",19000000,6.5
"Chasing Amy ","Kevin Smith",1997,"Color",147,113,12006514,"Comedy|Drama|Romance","English","USA","R",250000,7.3
"Radio Flyer ","Richard Donner",1992,"Color",10,114,4651977,"Drama","English","USA","PG-13",35000000,6.9
"Lucy ","Luc Besson",2014,"Color",433,89,126546825,"Action|Sci-Fi|Thriller","English","France","R",40000000,6.4
"A Very Long Engagement ","Jean-Pierre Jeunet",2004,"Color",186,133,6167817,"Drama|Mystery|Romance|War","French","France","R",47000000,7.7
"The First Wives Club ","Hugh Wilson",1996,"Color",50,103,105444419,"Comedy","English","USA","PG",26000000,6.2
"Boat Trip ","Mort Nathan",2002,"Color",63,97,8586376,"Comedy","English","USA","R",20000000,4.9
"The Jackal ","Michael Caton-Jones",1997,"Color",83,124,54910560,"Action|Adventure|Crime|Thriller","English","USA","R",60000000,6.3
"Drillbit Taylor ","Steven Brill",2008,"Color",146,102,32853640,"Comedy|Drama","English","USA","PG-13",40000000,5.7
"The Master ","Paul Thomas Anderson",2012,"Color",546,144,16377274,"Drama","English","USA","R",32000000,7.1
"A Cinderella Story ","Mark Rosman",2004,"Color",69,95,51431160,"Comedy|Family|Romance","English","USA","PG",20000000,5.9
"Robin Hood: Prince of Thieves ","Kevin Reynolds",1991,"Color",67,155,165500000,"Action|Adventure|Drama|Romance","English","USA","PG-13",48000000,6.9
"Gattaca ","Andrew Niccol",1997,"Color",175,106,12339633,"Drama|Sci-Fi|Thriller","English","USA","PG-13",36000000,7.8
"Y Tu Mamá También ","Alfonso Cuarón",2001,"Color",173,106,13622333,"Adventure|Comedy|Drama|Romance","Spanish","Mexico","R",2000000,7.7
"Paranormal Activity 3 ","Henry Joost",2011,"Color",251,94,104007828,"Horror","English","USA","R",5000000,5.8
"Dead Man on Campus ","Alan Cohn",1998,"Color",37,96,15062898,"Comedy","English","USA","R",14000000,6
"Hardball ","Brian Robbins",2001,"Color",85,106,40219708,"Drama|Sport","English","USA","PG-13",21000000,6.3
"Ponyo ","Hayao Miyazaki",2008,"Color",256,101,15081783,"Adventure|Animation|Family|Fantasy","Japanese","Japan","G",34000000,7.7
"Over the Hill to the Poorhouse ","Harry F. Millarde",1920," Black and White",1,110,3000000,"Crime|Drama","","USA","",100000,4.8
"In the Heart of the Sea ","Ron Howard",2015,"Color",289,122,24985612,"Action|Adventure|Biography|Drama|History|Thriller","English","USA","PG-13",100000000,7
"The Dictator ","Larry Charles",2012,"Color",313,99,59617068,"Comedy|Romance","English","USA","R",65000000,6.4
"Universal Soldier: The Return ","Mic Rodgers",1999,"Color",75,83,10431220,"Action|Sci-Fi","English","USA","R",24000000,4.1
"Snow White and the Seven Dwarfs ","William Cottrell",1937,"Color",145,83,184925485,"Animation|Family|Fantasy|Musical","English","USA","Approved",2000000,7.7
"Speed ","Jan de Bont",1994,"Color",114,116,121248145,"Action|Adventure|Crime|Thriller","English","USA","R",25000000,7.2
"My Big Fat Greek Wedding ","Joel Zwick",2002,"Color",168,95,241437427,"Comedy|Family|Romance","English","USA","PG",5000000,6.6
"Beyond the Valley of the Dolls ","Russ Meyer",1970,"Color",101,109,9000000,"Comedy|Drama|Music","English","USA","X",900000,6.2
"Congo ","Frank Marshall",1995,"Color",55,109,81022333,"Action|Adventure|Mystery|Sci-Fi","English","USA","PG-13",50000000,5
"Imagine That ","Karey Kirkpatrick",2009,"Color",93,107,16088610,"Comedy|Drama|Family|Fantasy","English","USA","PG",55000000,5.6
"Defendor ","Peter Stebbings",2009,"Color",78,95,37606,"Comedy|Crime|Drama","English","Canada","R",3500000,6.8
"Catch That Kid ","Bart Freundlich",2004,"Color",54,91,16702864,"Comedy|Crime","English","USA","PG",18000000,5.2
"Letters to God ","David Nixon",2010,"Color",19,110,2848578,"Drama|Family","English","USA","PG",3500000,6.3
"Madea's Witness Protection ","Tyler Perry",2012,"Color",31,114,65623128,"Comedy|Crime|Drama","English","USA","PG-13",20000000,4.8
"Because of Winn-Dixie ","Wayne Wang",2005,"Color",96,106,32645546,"Comedy|Drama|Family","English","USA","PG",14000000,6.4
"21 ","Robert Luketic",2008,"Color",144,123,81159365,"Crime|Drama|Thriller","English","USA","PG-13",35000000,6.8
"Black Nativity ","Kasi Lemmons",2013,"Color",40,93,7017178,"Drama|Family|Music|Musical","English","USA","PG",17500000,4.4
"The Purge: Election Year ","James DeMonaco",2016,"Color",165,109,78845130,"Action|Horror|Sci-Fi|Thriller","English","France","R",10000000,6.1
"Shutter Island ","Martin Scorsese",2010,"Color",490,138,127968405,"Mystery|Thriller","English","USA","R",80000000,8.1
"Breakdown ","Jonathan Mostow",1997,"Color",72,93,50129186,"Action|Crime|Drama|Mystery|Thriller","English","USA","R",36000000,6.9
"Last Orders ","Fred Schepisi",2001,"Color",61,109,2326407,"Drama","English","UK","R",12000000,7
"Lucky Numbers ","Nora Ephron",2000,"Color",60,105,10014234,"Comedy|Crime","English","France","R",65000000,5
"Original Sin ","Michael Cristofer",2001,"Color",93,118,16252765,"Drama|Mystery|Romance|Thriller","English","France","R",42000000,6
"Minions ","Kyle Balda",2015,"Color",308,91,336029560,"Action|Animation|Comedy|Family|Sci-Fi","English","USA","PG",74000000,6.4
"Barnyard ","Steve Oedekerk",2006,"Color",98,90,72601713,"Animation|Comedy|Family","English","Germany","PG",51000000,5.6
"The Thomas Crown Affair ","John McTiernan",1999,"Color",152,113,69304264,"Crime|Romance|Thriller","English","USA","R",48000000,6.8
"Eye of the Dolphin ","Michael D. Sellers",2006,"Color",18,100,71904,"Comedy|Drama|Family","English","USA","PG-13",2500000,5.7
"Highlander ","Russell Mulcahy",1986,"Color",112,110,5900000,"Action|Adventure|Fantasy","English","UK","R",16000000,7.2
"The Thirteenth Floor ","Josef Rusnak",1999,"Color",111,100,15500000,"Mystery|Sci-Fi|Thriller","English","Germany","R",16000000,7
"Flight ","Robert Zemeckis",2012,"Color",449,138,93749203,"Drama|Thriller","English","USA","R",31000000,7.3
"Meet the Spartans ","Jason Friedberg",2008,"Color",111,86,38232624,"Comedy","English","USA","PG-13",30000000,2.7
"The Texas Chainsaw Massacre: The Beginning ","Jonathan Liebesman",2006,"Color",196,83,39511038,"Horror","English","USA","R",16000000,5.9
"Halloween 4: The Return of Michael Myers ","Dwight H. Little",1988,"Color",144,88,17768000,"Horror|Thriller","English","USA","R",5000000,5.9
"Into the Woods ","Rob Marshall",2014,"Color",321,125,127997349,"Adventure|Comedy|Drama|Fantasy|Musical","English","USA","PG",50000000,6
"Boys and Girls ","Robert Iscove",2000,"Color",67,94,20627372,"Comedy|Drama|Romance","English","USA","PG-13",16000000,5.3
"Fright Night ","Craig Gillespie",2011,"Color",358,106,18298649,"Comedy|Horror","English","USA","R",30000000,6.4
"Role Models ","David Wain",2008,"Color",173,101,67266300,"Comedy","English","Germany","R",28000000,6.9
